Employer,City / location,Website,Sources,Source count,Sectors,Details / licences
Badger Service SA,,https://www.swissmadesoftware.org/en/companies/badger-service-sa/home.html,Swiss Made Software,1,Software,
Baeriswyl AG,Düdingen,http://www.baeriswyl-ag.ch,Swissolar,1,Solar / energy,Warpelstrasse 10a
Baeriswyl Präzisionsmechanik AG,Murten,https://www.baeriswyl-pm.ch,Swissmem,1,Industry / engineering,
baeriswyl tschanz & partner ag,Ittingen,http://www.btpag.ch,asut; swissICT,2,ICT / digital; Telecom / digital infrastructure,
Baffy AG,Kreuzlingen,http://www.baffy.ch/,Swissmechanic,1,Industry / SMEs,"Baffy AG, Fliegaufstrasse 13, 8280 Kreuzlingen"
Bahrenburg GmbH,,https://www.swissmadesoftware.org/en/companies/bahrenburg-gmbh/home.html,Swiss Made Software,1,Software,
Baitella AG,Canton of Zurich; Zürich,https://www.fisso.com/,Swiss Medtech; Swissmechanic; Swissmem,3,Industry / engineering; Industry / SMEs; Medical technology,"Baitella AG, Thurgauerstrasse 70, 8050 Zürich"
Baker Hughes Switzerland,Zürich,,Swissmem,1,Industry / engineering,
Baker McKenzie Switzerland AG,,https://www.swissbiotech.org/listing/baker-mckenzie-switzerland-ag/,Swiss Biotech Association,1,Biotech,
Bakir In & out,,https://www.swissmadesoftware.org/en/companies/bakir-in/home.html,Swiss Made Software,1,Software,
Balance Drive AG,Canton of Freiburg; Schmitten FR,https://balance-drive.com/,Swiss Medtech; Swissmem,2,Industry / engineering; Medical technology,
Balanz AG,Basel,,FINMA,1,Regulated financial services,Portfolio manager
Balboa Asset Management SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Baldegger Sortec AG,,https://www.swissmadesoftware.org/en/companies/baldegger-sortec-ag/home.html,Swiss Made Software,1,Software,
Balebako Privacy Engineer,8142 Uitikon Waldegg,https://www.privacyengineering.ch/,Swico,1,ICT / consumer electronics,
balesio AG,,https://www.swissmadesoftware.org/en/companies/balesio-ag/home.html,Swiss Made Software,1,Software,
Balgrist Campus AG,Canton of Zurich,https://www.balgristcampus.ch/,Swiss Medtech,1,Medical technology,
Balgrist Universitätsklink,,,digitalswitzerland,1,Digital economy,
Baliopharm AG,,https://www.swissbiotech.org/listing/baliopharm-ag/,Swiss Biotech Association,1,Biotech,
Ball Beverage Packaging Widnau GmbH,Widnau,https://www.ball.com,Swissmem,1,Industry / engineering,
Balluff AG,Biel/Bienne,https://www.balluff.ch,Swissmem,1,Industry / engineering,
BALLY CAPITAL ADVISORS AG,Zug,,FINMA,1,Regulated financial services,Portfolio manager
Bally Énergie Sàrl,Nyon,https://www.bally-energie.ch,Swissolar,1,Solar / energy,Route de Saint-Cergue 297
Balmer Médical SA,Canton of Vaud,https://www.balmermedical.ch/,Swiss Medtech,1,Medical technology,
Baloise Asset Management AG,Basel,,FINMA,1,Regulated financial services,Fund management company
Baloise Bank AG,4500 Solothurn; Solothurn,http://www.baloise.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Baloise Leben AG,Basel,,FINMA,1,Regulated financial services,Life insurance company
Baloise Life (Liechtenstein) AG,Balzers,,FINMA,1,Regulated financial services,Insurance activities through the free provision of services in Switzerland
Baloise Versicherung AG,Basel,https://www.baloise.ch/,asut; FINMA,2,Regulated financial services; Telecom / digital infrastructure,Non-life insurer
BalTec AG,Pfäffikon ZH,https://www.baltec.com,Swissmem,1,Industry / engineering,
BALTEK GmbH,Basel,,swissICT,1,ICT / digital,
