rank,employer,proxy_score,selection_bucket,corporate_subtype,public_subtype,city_location,website,sources,source_count,it_relevance_score,scale_institutional_proxy,data_confidence_score,penalty,employer_group_key,selection_reason,caveats,review_status
32,Swisscom (Schweiz) AG,95.2,Corporate / institutional IT,General corporate,,3050 Bern; 3063 Ittigen; 6005 Luzern; 8005 Zürich; 8021 Zürich 1; Bern,https://www.swisscom.ch/de/business.html,Swico; swissICT; Swissrail,3,100,88,94,0,swisscom,"IT/digital directories: Swico, swissICT; High-tech directories: Swissrail; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
33,Berner Fachhochschule (BFH),94.5,Corporate / institutional IT,Public / education / healthcare,Public / healthcare / infrastructure,Bern,https://www.bfh.ch/,digitalswitzerland; swissICT,2,98.8,93,86,0,berner fachhochschule,"IT/digital directories: digitalswitzerland, swissICT; Public/institutional IT-employer signal; Confirmed by 2 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
34,Siegfried AG,94.2,Corporate / institutional IT,Pharma / life sciences,,Untere Brühlstrasse 4 4800 Zofingen; Zofingen,https://www.siegfried.ch,scienceindustries; swissICT,2,100,90,86,0,siegfried,IT/digital directories: swissICT; High-tech directories: scienceindustries; Recognisable large-employer signal; Confirmed by 2 independent directories; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
35,AstraZeneca AG,94,Corporate / institutional IT,Pharma / life sciences,,Neuhofstrasse 34 6340 Baar,https://www.astrazeneca.ch,Interpharma; scienceindustries,2,88,100,100,0,astrazeneca,Institutional signal: Interpharma; High-tech directories: scienceindustries; Recognisable large-employer signal; Confirmed by 2 independent directories; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
36,MSD Merck Sharp & Dohme AG,94,Corporate / institutional IT,Pharma / life sciences,,Bürgenstrasse 8 6005 Luzern,https://www.msd.ch,Interpharma; scienceindustries,2,88,100,100,0,merck,Institutional signal: Interpharma; High-tech directories: scienceindustries; Recognisable large-employer signal; Confirmed by 2 independent directories; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
37,Pfizer AG,94,Corporate / institutional IT,Pharma / life sciences,,Schärenmoosstr. 99 8052 Zürich,https://www.pfizer.ch,Interpharma; scienceindustries,2,88,100,100,0,pfizer,Institutional signal: Interpharma; High-tech directories: scienceindustries; Recognisable large-employer signal; Confirmed by 2 independent directories; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
38,PostFinance AG,94,Corporate / institutional IT,Finance / insurance,,3030 Bern; Bern; Canton of Bern,https://www.postfinance.ch/de/unternehmen/produkte/rechnungen/digitalisieren.html,FINMA; Swiss Banking; Swiss Medtech,3,88.4,100,99,0,postfinance,"Institutional signal: FINMA, Swiss Banking; High-tech directories: Swiss Medtech; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
39,SRG SSR,93.6,Corporate / institutional IT,Public / education / healthcare,Public / healthcare / infrastructure,,http://www.srgssr.ch,asut; digitalswitzerland,2,100,100,68,0,srg ssr,"IT/digital directories: asut, digitalswitzerland; Recognisable large-employer signal; Public/institutional IT-employer signal; Confirmed by 2 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
40,Cisco Systems (Switzerland) GmbH,93.3,Corporate / institutional IT,General corporate,,8304 Wallisellen,http://www.cisco.com/ch,asut; Swico,2,100,87,86,0,cisco,"IT/digital directories: Swico, asut; Recognisable large-employer signal; Confirmed by 2 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
41,IBM Schweiz AG,93.3,Corporate / institutional IT,General corporate,,3073 Gümligen; 8010 Zürich,http://www.ibm.com,asut; Swico,2,100,87,86,0,ibm,"IT/digital directories: Swico, asut; Recognisable large-employer signal; Confirmed by 2 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
42,Google Switzerland GmbH,93.1,Corporate / institutional IT,General corporate,,8002 Zürich; Zürich,http://www.google.ch/,Swico; swisscleantech,2,100,83,91,0,google,IT/digital directories: Swico; High-tech directories: swisscleantech; Recognisable large-employer signal; Confirmed by 2 independent directories; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
43,OST - Ostschweizer Fachhochschule,92.5,Corporate / institutional IT,Public / education / healthcare,Public / healthcare / infrastructure,Buchs; Canton of St. Gallen; Sankt Gallen; St. Gallen,https://www.ost.ch/medtechlab,Swiss Medtech; swisscleantech; swissICT; Swissmechanic,4,100,75,100,0,,"IT/digital directories: swissICT; High-tech directories: Swiss Medtech, Swissmechanic, swisscleantech; Public/institutional IT-employer signal; Confirmed by 4 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
